Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
0.620929	2	1	0	1	64.1805
0.621929	2	1	0	0	64.2513
0.621929	2	1	0	1	64.1805
0.622929	2	1	0	0	64.2513
0.622929	2	1	0	1	64.1805
0.623929	2	1	0	0	64.2513
0.623929	2	1	0	1	64.1805
0.624929	2	1	0	0	64.2513
0.624929	2	1	0	1	64.1805
0.625929	2	1	0	0	64.2513
0.625929	2	1	0	1	64.1805
0.626929	2	1	0	0	64.2513
0.626929	2	1	0	1	64.1805
0.627929	2	1	0	0	64.2513
0.627929	2	1	0	1	64.1805
0.628929	2	1	0	0	64.2513
0.628929	2	1	0	1	64.1805
0.629929	2	1	0	0	64.2513
0.629929	2	1	0	1	64.1805
0.630929	2	1	0	0	64.2513
0.630929	2	1	0	1	64.1805
0.631929	2	1	0	0	64.2513
0.631929	2	1	0	1	64.1805
0.632929	2	1	0	0	64.2513
0.632929	2	1	0	1	64.1805
0.633929	2	1	0	0	64.2513
0.633929	2	1	0	1	64.1805
0.634929	2	1	0	0	64.2513
0.634929	2	1	0	1	64.1805
0.635929	2	1	0	0	64.2513
0.635929	2	1	0	1	64.1805
0.636929	2	1	0	0	64.2513
0.636929	2	1	0	1	64.1805
0.637929	2	1	0	0	64.2513
0.637929	2	1	0	1	64.1805
0.638857	2	1	0	0	64.2513
0.638857	2	1	0	1	64.1805
0.639929	2	1	0	0	64.2513
0.639929	2	1	0	1	64.1805
0.640929	2	1	0	0	64.2513
0.640929	2	1	0	1	64.1805
0.641929	2	1	0	0	64.2513
0.641929	2	1	0	1	64.1805
0.642929	2	1	0	0	64.2513
0.642929	2	1	0	1	64.1805
0.643929	2	1	0	0	64.2513
0.643929	2	1	0	1	64.1805
0.644929	2	1	0	0	64.2513
0.644929	2	1	0	1	64.1805
0.645929	2	1	0	0	64.2513
0.645929	2	1	0	1	64.1805
0.646929	2	1	0	0	64.2513
0.646929	2	1	0	1	64.1805
0.647929	2	1	0	0	64.2513
0.647929	2	1	0	1	64.1805
0.648929	2	1	0	0	64.2513
0.648929	2	1	0	1	64.1805
0.649929	2	1	0	0	64.2513
0.649929	2	1	0	1	64.1805
0.650929	2	1	0	0	64.2513
0.650929	2	1	0	1	64.1805
0.651929	2	1	0	0	64.2513
0.651929	2	1	0	1	64.1805
0.652929	2	1	0	0	64.2513
0.652929	2	1	0	1	64.1805
0.653929	2	1	0	0	64.2513
0.653929	2	1	0	1	64.1805
0.654929	2	1	0	0	64.2513
0.654929	2	1	0	1	64.1805
0.655929	2	1	0	0	64.2513
0.655929	2	1	0	1	64.1805
0.656929	2	1	0	0	64.2513
0.656929	2	1	0	1	64.1805
0.657929	2	1	0	0	64.2513
0.657929	2	1	0	1	64.1805
0.658929	2	1	0	0	64.2513
0.658929	2	1	0	1	64.1805
0.659929	2	1	0	0	64.2513
0.659929	2	1	0	1	64.1805
0.660929	2	1	0	0	64.2513
0.660929	2	1	0	1	64.1805
0.661929	2	1	0	0	64.2513
0.661929	2	1	0	1	64.1805
0.662929	2	1	0	0	64.2513
0.662929	2	1	0	1	64.1805
0.663929	2	1	0	0	64.2513
0.663929	2	1	0	1	64.1805
0.664929	2	1	0	0	64.2513
0.664929	2	1	0	1	64.1805
0.665929	2	1	0	0	64.2513
0.665929	2	1	0	1	64.1805
0.666929	2	1	0	0	64.2513
0.666929	2	1	0	1	64.1805
0.667929	2	1	0	0	64.2513
0.667929	2	1	0	1	64.1805
0.668929	2	1	0	0	64.2513
0.668929	2	1	0	1	64.1805
0.669929	2	1	0	0	64.2513
0.669929	2	1	0	1	64.1805
0.670929	2	1	0	0	64.2513
0.670929	2	1	0	1	64.1805
0.671929	2	1	0	0	64.2513
0.671929	2	1	0	1	64.1805
0.672929	2	1	0	0	64.2513
0.672929	2	1	0	1	64.1805
0.673929	2	1	0	0	64.2513
0.673929	2	1	0	1	64.1805
0.674929	2	1	0	0	64.2513
0.674929	2	1	0	1	64.1805
0.675929	2	1	0	0	64.2513
0.675929	2	1	0	1	64.1805
0.676929	2	1	0	0	64.2513
0.676929	2	1	0	1	64.1805
0.677929	2	1	0	0	64.2513
0.677929	2	1	0	1	64.1805
0.678929	2	1	0	0	64.2513
0.678929	2	1	0	1	64.1805
0.679929	2	1	0	0	64.2513
0.679929	2	1	0	1	64.1805
0.680929	2	1	0	0	64.2513
0.680929	2	1	0	1	64.1805
0.681929	2	1	0	0	64.2513
0.681929	2	1	0	1	64.1805
0.682929	2	1	0	0	64.2513
0.682929	2	1	0	1	64.1805
0.683929	2	1	0	0	64.2513
0.683929	2	1	0	1	64.1805
0.684929	2	1	0	0	64.2513
0.684929	2	1	0	1	64.1805
0.685929	2	1	0	0	64.2513
0.685929	2	1	0	1	64.1805
0.686929	2	1	0	0	64.2513
0.686929	2	1	0	1	64.1805
0.687929	2	1	0	0	64.2513
0.687929	2	1	0	1	64.1805
0.688929	2	1	0	0	64.2513
0.688929	2	1	0	1	64.1805
0.689929	2	1	0	0	64.2513
0.689929	2	1	0	1	64.1805
0.690929	2	1	0	0	64.2513
0.690929	2	1	0	1	64.1805
0.691929	2	1	0	0	64.2513
0.691929	2	1	0	1	64.1805
0.692929	2	1	0	0	64.2513
0.692929	2	1	0	1	64.1805
0.693929	2	1	0	0	64.2513
0.693929	2	1	0	1	64.1805
0.694929	2	1	0	0	64.2513
0.694929	2	1	0	1	64.1805
0.695929	2	1	0	0	64.2513
0.695929	2	1	0	1	64.1805
0.696929	2	1	0	0	64.2513
0.696929	2	1	0	1	64.1805
0.697929	2	1	0	0	64.2513
0.697929	2	1	0	1	64.1805
0.698929	2	1	0	0	64.2513
0.698929	2	1	0	1	64.1805
0.699929	2	1	0	0	64.2513
0.699929	2	1	0	1	64.1805
0.700929	2	1	0	0	64.2513
0.700929	2	1	0	1	64.1805
0.701929	2	1	0	0	64.2513
0.701929	2	1	0	1	64.1805
0.702929	2	1	0	0	64.2513
0.702929	2	1	0	1	64.1805
0.703929	2	1	0	0	64.2513
0.703929	2	1	0	1	64.1805
0.704929	2	1	0	0	64.2513
0.704929	2	1	0	1	64.1805
0.705929	2	1	0	0	64.2513
0.705929	2	1	0	1	64.1805
0.706929	2	1	0	0	64.2513
0.706929	2	1	0	1	64.1805
0.707929	2	1	0	0	64.2513
0.707929	2	1	0	1	64.1805
0.708929	2	1	0	0	64.2513
0.708929	2	1	0	1	64.1805
0.709929	2	1	0	0	64.2513
0.709929	2	1	0	1	64.1805
0.710929	2	1	0	0	64.2513
0.710929	2	1	0	1	64.1805
0.711929	2	1	0	0	64.2513
0.711929	2	1	0	1	64.1805
0.712929	2	1	0	0	64.2513
0.712929	2	1	0	1	64.1805
0.713929	2	1	0	0	64.2513
0.713929	2	1	0	1	64.1805
0.714929	2	1	0	0	64.2513
0.714929	2	1	0	1	64.1805
0.715929	2	1	0	0	64.2513
0.715929	2	1	0	1	64.1805
0.716929	2	1	0	0	64.1034
0.716929	2	1	0	1	64.1487
0.717929	2	1	0	0	64.1034
0.717929	2	1	0	1	64.1487
0.718857	2	1	0	0	64.1034
0.718857	2	1	0	1	64.1487
0.719929	2	1	0	0	64.1034
0.719929	2	1	0	1	64.1487
0.720929	2	1	0	0	64.1034
0.720929	2	1	0	1	64.1487
0.721929	2	1	0	0	64.1034
0.721929	2	1	0	1	64.1487
0.722929	2	1	0	0	64.1034
